trial,sent_us,recv_us,latency_us
167,1747599524548849,1747599524556855,8006
168,1747599524561462,1747599524568528,7066
169,1747599524575132,1747599524580780,5648
170,1747599524584498,1747599524593572,9074
171,1747599524602459,1747599524606055,3596
172,1747599524612051,1747599524617928,5877
173,1747599524624742,1747599524629004,4262
174,1747599524633629,1747599524637598,3969
175,1747599524641156,1747599524647176,6020
176,1747599524658845,1747599524663702,4857
177,1747599524670783,1747599524673450,2667
178,1747599524679375,1747599524682937,3562
179,1747599524688236,1747599524693030,4794
180,1747599524699311,1747599524705363,6052
181,1747599524709832,1747599524713714,3882
182,1747599524722793,1747599524735446,12653
183,1747599524749354,1747599524756878,7524
184,1747599524761893,1747599524769447,7554
185,1747599524776881,1747599524784006,7125
186,1747599524789082,1747599524796576,7494
187,1747599524802282,1747599524821516,19234
188,1747599524830519,1747599524835340,4821
189,1747599524840328,1747599524845191,4863
190,1747599524850430,1747599524856287,5857
191,1747599524866484,1747599524871991,5507
192,1747599524878609,1747599524883177,4568
193,1747599524890091,1747599524894072,3981
194,1747599524902597,1747599524907610,5013
195,1747599524914517,1747599524922682,8165
196,1747599524929782,1747599524936731,6949
197,1747599524944304,1747599524948838,4534
198,1747599524952807,1747599524956914,4107
199,1747599524964344,1747599524969371,5027
200,1747599524976966,1747599524980062,3096
201,1747599524984395,1747599524987177,2782
202,1747599524993574,1747599524999147,5573
203,1747599525004579,1747599525010279,5700
204,1747599525017045,1747599525024059,7014
205,1747599525031093,1747599525039536,8443
206,1747599525044079,1747599525051763,7684
207,1747599525058844,1747599525062912,4068
208,1747599525069248,1747599525074298,5050
209,1747599525081348,1747599525236286,154938
210,1747599525257830,1747599525264848,7018
211,1747599525278624,1747599525288776,10152
212,1747599525294268,1747599525299882,5614
213,1747599525306320,1747599525310830,4510
214,1747599525316214,1747599525321691,5477
215,1747599525326320,1747599525332467,6147
216,1747599525338753,1747599525487290,148537
217,1747599525505807,1747599525511144,5337
218,1747599525515910,1747599525518784,2874
219,1747599525523229,1747599525524605,1376
220,1747599525529528,1747599525543500,13972
221,1747599525550701,1747599525556016,5315
222,1747599525560510,1747599525568490,7980
223,1747599525578732,1747599525580655,1923
224,1747599525587111,1747599525741521,154410
225,1747599525754660,1747599525758724,4064
226,1747599525768978,1747599525772616,3638
227,1747599525777065,1747599525778578,1513
228,1747599525786916,1747599525794435,7519
229,1747599525799902,1747599525802882,2980
230,1747599525807019,1747599525809862,2843
231,1747599525816803,1747599525822867,6064
232,1747599525827342,1747599525830820,3478
233,1747599525837529,1747599525843450,5921
234,1747599525848689,1747599525992332,143643
235,1747599526007964,1747599526010897,2933
236,1747599526016872,1747599526020712,3840
237,1747599526026493,1747599526029749,3256
238,1747599526035696,1747599526038336,2640
239,1747599526049432,1747599526054978,5546
240,1747599526060336,1747599526064312,3976
241,1747599526070781,1747599526076691,5910
242,1747599526083968,1747599526243640,159672
243,1747599526263702,1747599526268391,4689
244,1747599526272106,1747599526274526,2420
245,1747599526280845,1747599526283869,3024
246,1747599526290397,1747599526295335,4938
247,1747599526299821,1747599526304777,4956
248,1747599526309253,1747599526312916,3663
249,1747599526317982,1747599526319406,1424
250,1747599526326047,1747599526336624,10577
251,1747599526343895,1747599526504359,160464
252,1747599526517151,1747599526524058,6907
253,1747599526527500,1747599526530727,3227
254,1747599526536131,1747599526538215,2084
255,1747599526546730,1747599526549963,3233
256,1747599526553676,1747599526560211,6535
257,1747599526565000,1747599526567896,2896
258,1747599526576885,1747599526580780,3895
259,1747599526587336,1747599526591775,4439
260,1747599526597108,1747599526601310,4202
261,1747599526606656,1747599526765017,158361
262,1747599526781012,1747599526786630,5618
263,1747599526794099,1747599526796859,2760
264,1747599526803417,1747599526808369,4952
265,1747599526814379,1747599526816410,2031
266,1747599526821253,1747599526824279,3026
267,1747599526827747,1747599526830970,3223
268,1747599526836288,1747599526837967,1679
269,1747599526845450,1747599526850334,4884
270,1747599526854261,1747599526858577,4316
271,1747599526864313,1747599527017791,153478
272,1747599527040501,1747599527051480,10979
273,1747599527059178,1747599527064362,5184
274,1747599527070061,1747599527078440,8379
275,1747599527086542,1747599527094398,7856
276,1747599527101695,1747599527108220,6525
277,1747599527115422,1747599527117956,2534
278,1747599527122044,1747599527273678,151634
279,1747599527292733,1747599527297958,5225
280,1747599527302985,1747599527307425,4440
281,1747599527311983,1747599527315270,3287
282,1747599527322946,1747599527328422,5476
283,1747599527332557,1747599527334131,1574
284,1747599527338206,1747599527342159,3953
285,1747599527348468,1747599527356881,8413
286,1747599527363934,1747599527367253,3319
287,1747599527371783,1747599527375301,3518
288,1747599527382345,1747599527537840,155495
289,1747599527558033,1747599527562013,3980
290,1747599527565605,1747599527573469,7864
291,1747599527580736,1747599527585316,4580
292,1747599527590249,1747599527593728,3479
293,1747599527598374,1747599527601742,3368
294,1747599527608775,1747599527613995,5220
295,1747599527620909,1747599527628151,7242
296,1747599527634954,1747599527638437,3483
297,1747599527643255,1747599527797635,154380
298,1747599527812091,1747599527819995,7904
299,1747599527831150,1747599527833127,1977
300,1747599527838431,1747599527843655,5224
301,1747599527848424,1747599527855085,6661
302,1747599527862406,1747599527868487,6081
303,1747599527873430,1747599527875101,1671
304,1747599527878682,1747599527881680,2998
305,1747599527887143,1747599527891380,4237
306,1747599527896595,1747599528060069,163474
307,1747599528079062,1747599528083575,4513
308,1747599528088771,1747599528095850,7079
309,1747599528099585,1747599528105304,5719
310,1747599528112301,1747599528116437,4136
311,1747599528119386,1747599528121990,2604
312,1747599528126950,1747599528132735,5785
313,1747599528137419,1747599528140114,2695
314,1747599528145905,1747599528150157,4252
315,1747599528154200,1747599528159012,4812
316,1747599528164659,1747599528321801,157142
317,1747599528341641,1747599528351028,9387
318,1747599528356516,1747599528360389,3873
319,1747599528364666,1747599528366520,1854
320,1747599528372652,1747599528380643,7991
321,1747599528387808,1747599528393641,5833
322,1747599528400653,1747599528407826,7173
323,1747599528416792,1747599528418673,1881
324,1747599528427832,1747599528586169,158337
325,1747599528604746,1747599528608828,4082
326,1747599528614801,1747599528616460,1659
327,1747599528624355,1747599528626380,2025
328,1747599528633440,1747599528635648,2208
329,1747599528641642,1747599528644692,3050
330,1747599528652144,1747599528655673,3529
331,1747599528660957,1747599528666683,5726
332,1747599528670683,1747599528675063,4380
333,1747599528680060,1747599528681810,1750
334,1747599528686253,1747599528848090,161837
335,1747599528867091,1747599528874411,7320
336,1747599528878997,1747599528880799,1802
337,1747599528887062,1747599528894022,6960
338,1747599528899074,1747599528902926,3852
339,1747599528909212,1747599528915109,5897
340,1747599528919229,1747599528924057,4828
341,1747599528927906,1747599528932813,4907
342,1747599528940773,1747599528944486,3713
343,1747599528949273,1747599529108739,159466
344,1747599529129362,1747599529133361,3999
345,1747599529141933,1747599529143040,1107
346,1747599529147072,1747599529149458,2386
347,1747599529153601,1747599529161091,7490
348,1747599529167212,1747599529170388,3176
349,1747599529174529,1747599529176919,2390
350,1747599529181182,1747599529186928,5746
351,1747599529192795,1747599529197946,5151
352,1747599529207277,1747599529211251,3974
353,1747599529217063,1747599529372303,155240
354,1747599529393078,1747599529406161,13083
355,1747599529411014,1747599529417220,6206
356,1747599529422896,1747599529428778,5882
357,1747599529435089,1747599529440845,5756
358,1747599529448627,1747599529453886,5259
359,1747599529458307,1747599529461977,3670
360,1747599529466350,1747599529470661,4311
361,1747599529475827,1747599529635145,159318
362,1747599529652317,1747599529660444,8127
363,1747599529669079,1747599529671030,1951
364,1747599529679220,1747599529680865,1645
365,1747599529690282,1747599529694717,4435
366,1747599529700187,1747599529704813,4626
367,1747599529709364,1747599529712271,2907
368,1747599529716876,1747599529720924,4048
369,1747599529725992,1747599529728373,2381
370,1747599529739432,1747599529898465,159033
371,1747599529917486,1747599529922131,4645
372,1747599529927178,1747599529932655,5477
373,1747599529940926,1747599529948708,7782
374,1747599529961872,1747599529970132,8260
375,1747599529977601,1747599529983077,5476
376,1747599529990820,1747599529996150,5330
377,1747599530001273,1747599530156278,155005
378,1747599530178563,1747599530187019,8456
379,1747599530196618,1747599530200718,4100
380,1747599530208042,1747599530230090,22048
381,1747599530238396,1747599530241929,3533
382,1747599530248810,1747599530254894,6084
383,1747599530263368,1747599530267321,3953
384,1747599530272536,1747599530275080,2544
385,1747599530282609,1747599530283906,1297
386,1747599530293258,1747599530295027,1769
387,1747599530299479,1747599530304926,5447
388,1747599530309141,1747599530314592,5451
389,1747599530321581,1747599530327636,6055
390,1747599530333434,1747599530337047,3613
391,1747599530342335,1747599530348445,6110
392,1747599530353029,1747599530355634,2605
393,1747599530360687,1747599530362460,1773
394,1747599530368475,1747599530371770,3295
395,1747599530376796,1747599530382248,5452
396,1747599530391878,1747599530393351,1473
397,1747599530406180,1747599530409442,3262
398,1747599530413886,1747599530417725,3839
399,1747599530426498,1747599530433280,6782
400,1747599530438877,1747599530442746,3869
401,1747599530447555,1747599530458298,10743
402,1747599530465841,1747599530476132,10291
403,1747599530485130,1747599530494032,8902
404,1747599530498628,1747599530501003,2375
405,1747599530509095,1747599530514383,5288
406,1747599530521226,1747599530524724,3498
407,1747599530533212,1747599530543142,9930
408,1747599530550751,1747599530557556,6805
409,1747599530562310,1747599530569123,6813
410,1747599530576617,1747599530579853,3236
411,1747599530585209,1747599530588072,2863
412,1747599530597879,1747599530603984,6105
413,1747599530613203,1747599530620257,7054
414,1747599530624571,1747599530630046,5475
415,1747599530638544,1747599530641922,3378
416,1747599530646164,1747599530655631,9467
417,1747599530660421,1747599530664709,4288
418,1747599530672158,1747599530674875,2717
419,1747599530680157,1747599530682597,2440
420,1747599530687420,1747599530691407,3987
421,1747599530696138,1747599530698960,2822
422,1747599530705464,1747599530708917,3453
423,1747599530713167,1747599530715172,2005
424,1747599530728693,1747599530746073,17380
425,1747599530754857,1747599530763363,8506
426,1747599530770682,1747599530775498,4816
427,1747599530783183,1747599530791681,8498
428,1747599530800262,1747599530808023,7761
429,1747599530815198,1747599530819774,4576
430,1747599530826556,1747599530830755,4199
431,1747599530837480,1747599530839825,2345
432,1747599530843973,1747599530846053,2080
433,1747599530850749,1747599530853928,3179
434,1747599530857837,1747599530869140,11303
435,1747599530876000,1747599530881834,5834
436,1747599530890516,1747599530893962,3446
437,1747599530898790,1747599530905794,7004
438,1747599530914181,1747599530917682,3501
439,1747599530922145,1747599530926079,3934
440,1747599530931005,1747599530935072,4067
441,1747599530940727,1747599530947307,6580
442,1747599530954138,1747599530957706,3568
443,1747599530965095,1747599530971106,6011
444,1747599530976853,1747599530980143,3290
445,1747599530988312,1747599530991577,3265
446,1747599530995559,1747599530999214,3655
447,1747599531003837,1747599531006570,2733
448,1747599531020266,1747599531027069,6803
449,1747599531034233,1747599531042937,8704
450,1747599531051521,1747599531055983,4462
451,1747599531061982,1747599531072861,10879
452,1747599531080667,1747599531085927,5260
453,1747599531093357,1747599531096894,3537
454,1747599531101352,1747599531107709,6357
455,1747599531113669,1747599531118065,4396
456,1747599531122760,1747599531127637,4877
457,1747599531137737,1747599531142721,4984
458,1747599531147706,1747599531152071,4365
459,1747599531158695,1747599531161893,3198
460,1747599531170400,1747599531173962,3562
461,1747599531178248,1747599531180594,2346
462,1747599531187890,1747599531192594,4704
463,1747599531196920,1747599531199751,2831
464,1747599531203822,1747599531209418,5596
465,1747599531216873,1747599531223327,6454
466,1747599531228909,1747599531232302,3393
467,1747599531237903,1747599531245883,7980
468,1747599531251164,1747599531258480,7316
