trial,local_us,latency
284,1747605979386467,25
285,1747605979386505,26
286,1747605979386544,25
287,1747605979386583,10250
288,1747605979396854,26
289,1747605979396892,25
290,1747605979396931,25
291,1747605979396969,10192
292,1747605979407175,25
293,1747605979407214,26
294,1747605979407252,25
295,1747605979407291,25
296,1747605979407329,10250
297,1747605979417593,25
298,1747605979417632,26
299,1747605979417670,25
300,1747605979417709,10199
301,1747605979427922,26
302,1747605979427960,25
303,1747605979427999,25
304,1747605979428038,26
305,1747605979428076,10250
306,1747605979438340,26
307,1747605979438378,25
308,1747605979438417,25
309,1747605979438456,10200
310,1747605979448668,25
311,1747605979448707,25
312,1747605979448746,26
313,1747605979448784,10199
314,1747605979458997,25
315,1747605979459036,26
316,1747605979459074,25
317,1747605979459113,25
318,1747605979459152,10251
319,1747605979469415,25
320,1747605979469454,25
321,1747605979469492,26
322,1747605979469531,10199
323,1747605979479744,25
324,1747605979479782,26
325,1747605979479821,25
326,1747605979479860,25
327,1747605979479898,10250
328,1747605979490162,25
329,1747605979490201,26
330,1747605979490239,25
331,1747605979490278,10199
332,1747605979500490,26
333,1747605979500529,25
334,1747605979500568,25
335,1747605979500606,10200
336,1747605979510819,33
337,1747605979510865,25
338,1747605979510904,25
339,1747605979510942,26
340,1747605979510981,10243
341,1747605979521237,25
342,1747605979521276,25
343,1747605979521315,26
344,1747605979521353,10199
345,1747605979531566,25
346,1747605979531605,26
347,1747605979531643,25
348,1747605979531682,25
349,1747605979531721,10250
350,1747605979541984,25
351,1747605979542023,26
352,1747605979542061,25
353,1747605979542100,10199
354,1747605979552313,26
355,1747605979552351,25
356,1747605979552390,25
357,1747605979552429,26
358,1747605979552467,10250
359,1747605979562731,25
360,1747605979562769,26
361,1747605979562808,25
362,1747605979562854,10192
363,1747605979573059,26
364,1747605979573098,25
365,1747605979573137,25
366,1747605979573175,10200
367,1747605979583388,25
368,1747605979583427,25
369,1747605979583466,26
370,1747605979583504,25
371,1747605979583543,10250
372,1747605979593806,25
373,1747605979593845,25
374,1747605979593884,26
375,1747605979593922,10199
376,1747605979604135,25
377,1747605979604174,26
378,1747605979604212,25
379,1747605979604251,25
380,1747605979604290,10251
381,1747605979614553,25
382,1747605979614592,25
383,1747605979614631,26
384,1747605979614669,10199
385,1747605979624882,25
