trial,sent_us,recv_us,latency_us
167,1747605979106687,1747605979123435,16748
168,1747605979116899,1747605979123644,6745
169,1747605979116938,1747605979123811,6873
170,1747605979116977,1747605979129250,12273
171,1747605979117015,1747605979129403,12388
172,1747605979117054,1747605979134699,17645
173,1747605979127318,1747605979134892,7574
174,1747605979127356,1747605979140150,12794
175,1747605979127395,1747605979140372,12977
176,1747605979127433,1747605979140537,13104
177,1747605979137646,1747605979146027,8381
178,1747605979137685,1747605979146230,8545
179,1747605979137724,1747605979152022,14298
180,1747605979137762,1747605979152243,14481
181,1747605979137801,1747605979157075,19274
182,1747605979148064,1747605979157288,9224
183,1747605979148103,1747605979157456,9353
184,1747605979148142,1747605979162861,14719
185,1747605979148180,1747605979163171,14991
186,1747605979158393,1747605979168737,10344
187,1747605979158432,1747605979169172,10740
188,1747605979158470,1747605979169456,10986
189,1747605979158509,1747605979173892,15383
190,1747605979158548,1747605979174321,15773
191,1747605979168811,1747605979180037,11226
192,1747605979168857,1747605979180467,11610
193,1747605979168896,1747605979185107,16211
194,1747605979168934,1747605979185527,16593
195,1747605979179140,1747605979185813,6673
196,1747605979179178,1747605979190409,11231
197,1747605979179217,1747605979190750,11533
198,1747605979179256,1747605979196291,17035
199,1747605979189468,1747605979196678,7210
200,1747605979189507,1747605979201900,12393
201,1747605979189546,1747605979202357,12811
202,1747605979189584,1747605979202509,12925
203,1747605979189623,1747605979207323,17700
204,1747605979199886,1747605979207707,7821
205,1747605979199925,1747605979213215,13290
206,1747605979199964,1747605979213614,13650
207,1747605979200002,1747605979213897,13895
208,1747605979210215,1747605979218764,8549
209,1747605979210254,1747605979219198,8944
210,1747605979210292,1747605979223907,13615
211,1747605979210331,1747605979224346,14015
212,1747605979210370,1747605979229763,19393
213,1747605979220633,1747605979230184,9551
214,1747605979220672,1747605979230478,9806
215,1747605979220710,1747605979235280,14570
216,1747605979220749,1747605979235680,14931
217,1747605979230962,1747605979240507,9545
218,1747605979231000,1747605979240743,9743
219,1747605979231039,1747605979246680,15641
220,1747605979231078,1747605979247115,16037
221,1747605979231116,1747605979247409,16293
222,1747605979241380,1747605979251852,10472
223,1747605979241418,1747605979252308,10890
224,1747605979241457,1747605979257316,15859
225,1747605979241496,1747605979257758,16262
226,1747605979251708,1747605979258065,6357
227,1747605979251747,1747605979263458,11711
228,1747605979251786,1747605979263861,12075
229,1747605979251824,1747605979268566,16742
230,1747605979262037,1747605979268981,6944
231,1747605979262076,1747605979274014,11938
232,1747605979262114,1747605979274499,12385
233,1747605979262153,1747605979274642,12489
234,1747605979262192,1747605979280101,17909
235,1747605979272455,1747605979280465,8010
236,1747605979272494,1747605979285484,12990
