trial,local_us,remote_us,latency_us,delta_local_us,delta_remote_us,error_us
8847,360280359,1747579177657446,5317,24000,11022,-12978
8848,360294359,1747579177674627,8231,14000,17181,3181
8849,360312359,1747579177705536,17158,18000,30909,12909
8850,360338359,1747579177716175,5695,26000,10639,-15361
8851,360352359,1747579177732673,7473,14000,16498,2498
8852,360368359,1747579177763174,17287,16000,30501,14501
8853,360394359,1747579177773252,7172,26000,10078,-15922
8854,360410359,1747579177789538,8089,16000,16286,286
8855,360428359,1747579177840665,29154,18000,51127,33127
8856,360466359,1747579177853284,12367,38000,12619,-25381
8857,360488359,1747579177934947,51767,22000,81663,59663
8858,360548359,1747579177951556,22976,60000,16609,-43391
8859,360580359,1747579177958036,5879,32000,6480,-25520
8860,360594359,1747579177985815,15941,14000,27779,13779
8861,360618359,1747579178007679,20383,24000,21864,-2136
8862,360648359,1747579178028033,6950,30000,20354,-9646
