trial,sent_us,recv_us,latency_us
167,1747604550609547,1747604550617062,7515
168,1747604550625376,1747604550639445,14069
169,1747604550643970,1747604550662907,18937
170,1747604550666983,1747604550675751,8768
171,1747604550680274,1747604550692596,12322
172,1747604550696732,1747604550703540,6808
173,1747604550707646,1747604550714780,7134
174,1747604550720107,1747604550731440,11333
175,1747604550742525,1747604550748015,5490
176,1747604550752066,1747604550759225,7159
177,1747604550769979,1747604550775790,5811
178,1747604550780688,1747604550786960,6272
179,1747604550801174,1747604550814787,13613
180,1747604550825406,1747604550842742,17336
181,1747604550848580,1747604550860631,12051
182,1747604550870788,1747604550888033,17245
183,1747604550892321,1747604550899900,7579
184,1747604550904373,1747604550912454,8081
185,1747604550922719,1747604550933606,10887
186,1747604550954206,1747604550961212,7006
187,1747604550966956,1747604550973313,6357
188,1747604550978700,1747604550990237,11537
189,1747604550994205,1747604551007059,12854
190,1747604551011053,1747604551023520,12467
191,1747604551027545,1747604551040241,12696
192,1747604551050511,1747604551062345,11834
193,1747604551067785,1747604551073392,5607
194,1747604551077821,1747604551090179,12358
195,1747604551094238,1747604551106624,12386
196,1747604551116272,1747604551138120,21848
197,1747604551141851,1747604551154474,12623
198,1747604551158507,1747604551177495,18988
199,1747604551181424,1747604551188552,7128
200,1747604551193921,1747604551199654,5733
201,1747604551204069,1747604551210549,6480
202,1747604551220332,1747604551227310,6978
203,1747604551233423,1747604551239270,5847
204,1747604551244744,1747604551255852,11108
205,1747604551263763,1747604551278280,14517
206,1747604551288778,1747604551306428,17650
207,1747604551313870,1747604551326355,12485
208,1747604551330459,1747604551343046,12587
209,1747604551346910,1747604551353982,7072
210,1747604551357946,1747604551370592,12646
211,1747604551374650,1747604551387402,12752
212,1747604551397789,1747604551415999,18210
213,1747604551420001,1747604551430361,10360
214,1747604551434525,1747604551441523,6998
215,1747604551446105,1747604551452635,6530
216,1747604551458534,1747604551466743,8209
217,1747604551470780,1747604551483363,12583
218,1747604551488759,1747604551499893,11134
219,1747604551503999,1747604551510932,6933
220,1747604551515117,1747604551522079,6962
221,1747604551526121,1747604551533344,7223
222,1747604551548174,1747604551555730,7556
223,1747604551559665,1747604551572290,12625
224,1747604551577566,1747604551595281,17715
225,1747604551599375,1747604551606997,7622
226,1747604551617718,1747604551629433,11715
227,1747604551637458,1747604551651795,14337
228,1747604551657595,1747604551663848,6253
229,1747604551669280,1747604551674847,5567
230,1747604551680340,1747604551686823,6483
231,1747604551691027,1747604551698118,7091
232,1747604551703187,1747604551709275,6088
233,1747604551714849,1747604551720497,5648
234,1747604551735231,1747604551743272,8041
235,1747604551746970,1747604551759275,12305
236,1747604551767192,1747604551781626,14434
237,1747604551785651,1747604551798282,12631
238,1747604551808713,1747604551826326,17613
239,1747604551830752,1747604551843189,12437
240,1747604551861294,1747604551871285,9991
241,1747604551875111,1747604551887824,12713
242,1747604551897160,1747604551909888,12728
243,1747604551913834,1747604551926664,12830
244,1747604551932527,1747604551939483,6956
245,1747604551949866,1747604551961295,11429
246,1747604551965452,1747604551978043,12591
247,1747604551983883,1747604551991256,7373
248,1747604551995667,1747604552002291,6624
249,1747604552012934,1747604552024552,11618
250,1747604552042874,1747604552052480,9606
251,1747604552060427,1747604552075334,14907
252,1747604552084483,1747604552097433,12950
253,1747604552101610,1747604552113853,12243
254,1747604552122262,1747604552136498,14236
255,1747604552147011,1747604552153038,6027
256,1747604552157318,1747604552169374,12056
257,1747604552180203,1747604552191772,11569
258,1747604552202326,1747604552210418,8092
259,1747604552214766,1747604552221684,6918
260,1747604552227024,1747604552232888,5864
261,1747604552238837,1747604552245700,6863
262,1747604552251242,1747604552257072,5830
263,1747604552262515,1747604552268226,5711
264,1747604552278669,1747604552284941,6272
265,1747604552289809,1747604552296331,6522
266,1747604552306176,1747604552314843,8667
267,1747604552319338,1747604552325908,6570
268,1747604552331398,1747604552342834,11436
269,1747604552346614,1747604552359450,12836
270,1747604552367323,1747604552387328,20005
271,1747604552391244,1747604552398108,6864
272,1747604552402295,1747604552414771,12476
273,1747604552418874,1747604552431366,12492
274,1747604552441037,1747604552453956,12919
275,1747604552457921,1747604552464635,6714
276,1747604552470114,1747604552475837,5723
277,1747604552485781,1747604552492736,6955
278,1747604552503223,1747604552509851,6628
279,1747604552514041,1747604552526688,12647
280,1747604552531993,1747604552549332,17339
281,1747604552560116,1747604552571706,11590
282,1747604552589780,1747604552599434,9654
283,1747604552609231,1747604552621564,12333
284,1747604552625660,1747604552634007,8347
285,1747604552638149,1747604552645772,7623
286,1747604552651185,1747604552662649,11464
287,1747604552672160,1747604552685012,12852
288,1747604552699171,1747604552706887,7716
289,1747604552711352,1747604552718606,7254
290,1747604552723172,1747604552729758,6586
291,1747604552735203,1747604552746658,11455
292,1747604552750806,1747604552757722,6916
293,1747604552762322,1747604552774591,12269
294,1747604552778927,1747604552791211,12284
295,1747604552795271,1747604552802961,7690
296,1747604552812774,1747604552825214,12440
297,1747604552829629,1747604552841880,12251
298,1747604552846012,1747604552852970,6958
299,1747604552858417,1747604552864018,5601
300,1747604552868212,1747604552875475,7263
301,1747604552885996,1747604552903029,17033
302,1747604552907160,1747604552914191,7031
303,1747604552918582,1747604552925314,6732
304,1747604552929651,1747604552942158,12507
305,1747604552951869,1747604552970345,18476
306,1747604552974444,1747604552981434,6990
307,1747604552991184,1747604552998071,6887
308,1747604553003439,1747604553014699,11260
309,1747604553025271,1747604553037462,12191
310,1747604553041253,1747604553053695,12442
311,1747604553058156,1747604553070417,12261
312,1747604553080749,1747604553100718,19969
313,1747604553110916,1747604553124597,13681
314,1747604553144440,1747604553152625,8185
315,1747604553160425,1747604553174735,14310
316,1747604553178619,1747604553196858,18239
317,1747604553206542,1747604553220312,13770
318,1747604553224592,1747604553236831,12239
319,1747604553249508,1747604553259358,9850
320,1747604553269782,1747604553287051,17269
321,1747604553295144,1747604553309489,14345
322,1747604553313526,1747604553326237,12711
323,1747604553334279,1747604553342860,8581
324,1747604553346915,1747604553360002,13087
325,1747604553364202,1747604553376832,12630
326,1747604553380935,1747604553393501,12566
327,1747604553397748,1747604553404405,6657
328,1747604553414933,1747604553421883,6950
329,1747604553427239,1747604553433125,5886
330,1747604553437858,1747604553444434,6576
331,1747604553449041,1747604553461216,12175
332,1747604553465220,1747604553472267,7047
333,1747604553477692,1747604553488719,11027
334,1747604553498821,1747604553516749,17928
335,1747604553520731,1747604553527778,7047
336,1747604553537567,1747604553545966,8399
337,1747604553549981,1747604553556894,6913
338,1747604553567624,1747604553579357,11733
339,1747604553589974,1747604553601506,11532
340,1747604553605613,1747604553618233,12620
341,1747604553624210,1747604553630107,5897
342,1747604553645443,1747604553652963,7520
343,1747604553657159,1747604553664049,6890
344,1747604553678155,1747604553686236,8081
345,1747604553690204,1747604553702763,12559
346,1747604553706809,1747604553719705,12896
347,1747604553723820,1747604553730666,6846
348,1747604553746201,1747604553759124,12923
349,1747604553763027,1747604553775296,12269
350,1747604553779350,1747604553791770,12420
351,1747604553801391,1747604553813895,12504
352,1747604553818046,1747604553830740,12694
353,1747604553836621,1747604553847394,10773
354,1747604553851711,1747604553863788,12077
355,1747604553875611,1747604553886322,10711
356,1747604553896742,1747604553908638,11896
357,1747604553915117,1747604553919681,4564
358,1747604553924122,1747604553931316,7194
359,1747604553936628,1747604553942464,5836
360,1747604553947898,1747604553959515,11617
361,1747604553963334,1747604553975836,12502
362,1747604553979862,1747604553992519,12657
363,1747604553996934,1747604554009395,12461
364,1747604554013376,1747604554025682,12306
365,1747604554029793,1747604554042487,12694
366,1747604554052403,1747604554060874,8471
367,1747604554065774,1747604554076917,11143
368,1747604554089581,1747604554099367,9786
369,1747604554120016,1747604554126957,6941
370,1747604554136591,1747604554149021,12430
371,1747604554153149,1747604554165855,12706
372,1747604554171068,1747604554182543,11475
373,1747604554186540,1747604554199189,12649
374,1747604554208911,1747604554228181,19270
375,1747604554238412,1747604554250148,11736
376,1747604554254109,1747604554266804,12695
377,1747604554276906,1747604554294522,17616
378,1747604554299415,1747604554305965,6550
379,1747604554313720,1747604554328163,14443
380,1747604554333427,1747604554344892,11465
381,1747604554349271,1747604554361425,12154
382,1747604554367428,1747604554373378,5950
383,1747604554383003,1747604554390039,7036
384,1747604554400344,1747604554407010,6666
385,1747604554416410,1747604554429179,12769
386,1747604554433204,1747604554445643,12439
387,1747604554449697,1747604554456744,7047
388,1747604554466373,1747604554473428,7055
389,1747604554483923,1747604554489888,5965
390,1747604554495445,1747604554506829,11384
391,1747604554511098,1747604554523493,12395
392,1747604554528821,1747604554545561,16740
393,1747604554553212,1747604554560510,7298
394,1747604554564988,1747604554577197,12209
395,1747604554582217,1747604554594059,11842
396,1747604554598462,1747604554610750,12288
397,1747604554616064,1747604554627285,11221
398,1747604554632617,1747604554649468,16851
399,1747604554654810,1747604554666207,11397
400,1747604554675798,1747604554688791,12993
401,1747604554698840,1747604554711393,12553
402,1747604554714985,1747604554727417,12432
403,1747604554731431,1747604554744133,12702
404,1747604554748186,1747604554760689,12503
405,1747604554766680,1747604554774027,7347
406,1747604554779285,1747604554790624,11339
407,1747604554794743,1747604554807671,12928
408,1747604554811651,1747604554824069,12418
409,1747604554844965,1747604554851762,6797
410,1747604554857012,1747604554862850,5838
411,1747604554868189,1747604554879569,11380
412,1747604554890302,1747604554908087,17785
413,1747604554912051,1747604554919668,7617
414,1747604554924998,1747604554931100,6102
415,1747604554936563,1747604554947350,10787
416,1747604554951539,1747604554958640,7101
417,1747604554963623,1747604554975151,11528
418,1747604554979180,1747604554986126,6946
419,1747604554991587,1747604555002892,11305
420,1747604555007364,1747604555019762,12398
421,1747604555023900,1747604555036232,12332
422,1747604555040360,1747604555053328,12968
423,1747604555057334,1747604555070026,12692
424,1747604555075313,1747604555081174,5861
425,1747604555086986,1747604555093680,6694
426,1747604555101408,1747604555110077,8669
427,1747604555118279,1747604555132341,14062
428,1747604555137983,1747604555144392,6409
429,1747604555149798,1747604555161024,11226
430,1747604555165054,1747604555177916,12862
431,1747604555181844,1747604555194245,12401
432,1747604555198352,1747604555211217,12865
433,1747604555221636,1747604555240833,19197
434,1747604555244650,1747604555256773,12123
435,1747604555260763,1747604555267601,6838
436,1747604555273299,1747604555284404,11105
437,1747604555294091,1747604555306493,12402
438,1747604555312018,1747604555318555,6537
439,1747604555323340,1747604555330826,7486
440,1747604555335303,1747604555342990,7687
441,1747604555347021,1747604555359902,12881
442,1747604555363984,1747604555382567,18583
443,1747604555386614,1747604555399516,12902
444,1747604555407537,1747604555421383,13846
445,1747604555425334,1747604555433170,7836
446,1747604555437273,1747604555443828,6555
447,1747604555449310,1747604555460564,11254
448,1747604555464703,1747604555477466,12763
449,1747604555487903,1747604555494280,6377
450,1747604555498617,1747604555511348,12731
451,1747604555515359,1747604555527831,12472
452,1747604555537435,1747604555544965,7530
453,1747604555550350,1747604555561294,10944
454,1747604555565777,1747604555572577,6800
455,1747604555577998,1747604555589297,11299
456,1747604555594338,1747604555605902,11564
457,1747604555611140,1747604555622589,11449
458,1747604555628103,1747604555633503,5400
