trial,local_us,latency
289,1747599868643867,589
290,1747599868644474,285
291,1747599868644777,283
292,1747599868645076,287
293,1747599868645380,528
294,1747599868645927,414
295,1747599868646359,410
296,1747599868646789,296
297,1747599868647103,290
298,1747599868647410,281
299,1747599868647706,281
300,1747599868648003,281
301,1747599868648300,281
302,1747599868648597,616
303,1747599868649233,331
304,1747599868649583,283
305,1747599868649882,280
306,1747599868650179,390
307,1747599868650586,407
308,1747599868651012,396
309,1747599868651428,418
310,1747599868651865,410
311,1747599868652296,415
312,1747599868652730,409
313,1747599868653159,423
314,1747599868653601,408
315,1747599868654030,291
316,1747599868654340,283
317,1747599868654639,378
318,1747599868655035,434
319,1747599868655487,408
320,1747599868655916,292
321,1747599868656226,283
322,1747599868656525,281
323,1747599868656822,280
324,1747599868657119,288
325,1747599868657423,281
326,1747599868657720,280
327,1747599868658017,395
328,1747599868658430,482
329,1747599868658931,416
330,1747599868659368,541
331,1747599868659927,471
332,1747599868660419,295
333,1747599868660733,283
334,1747599868661032,288
335,1747599868661336,281
336,1747599868661633,281
337,1747599868661930,281
338,1747599868662227,281
339,1747599868662524,280
340,1747599868662821,280
341,1747599868663118,313
342,1747599868663448,289
343,1747599868663752,281
344,1747599868664049,281
345,1747599868664346,281
346,1747599868664643,281
347,1747599868664940,420
348,1747599868665380,304
349,1747599868665702,283
350,1747599868666001,672
351,1747599868666693,296
352,1747599868667008,385
353,1747599868667409,418
354,1747599868667846,289
355,1747599868668153,283
356,1747599868668452,281
357,1747599868668749,280
358,1747599868669046,288
359,1747599868669350,281
360,1747599868669647,281
361,1747599868669944,280
362,1747599868670241,280
363,1747599868670538,281
364,1747599868670834,281
365,1747599868671131,422
366,1747599868671573,296
367,1747599868671888,283
368,1747599868672187,281
369,1747599868672484,281
370,1747599868672781,281
371,1747599868673078,288
372,1747599868673383,281
373,1747599868673680,508
374,1747599868674205,579
375,1747599868674804,420
376,1747599868675243,399
377,1747599868675663,413
378,1747599868676094,401
379,1747599868676517,300
380,1747599868676833,280
381,1747599868677130,288
382,1747599868677434,281
383,1747599868677731,281
384,1747599868678027,281
385,1747599868678324,281
386,1747599868678621,386
387,1747599868679027,312
388,1747599868679355,288
389,1747599868679662,283
390,1747599868679961,280
391,1747599868680258,473
392,1747599868680751,304
393,1747599868681071,292
394,1747599868681381,283
395,1747599868681681,440
396,1747599868682141,296
397,1747599868682455,283
398,1747599868682754,281
399,1747599868683051,288
400,1747599868683356,281
401,1747599868683652,281
402,1747599868683949,281
403,1747599868684246,281
404,1747599868684543,281
405,1747599868684840,454
406,1747599868685315,504
407,1747599868685838,284
408,1747599868686141,283
409,1747599868686440,281
410,1747599868686736,515
411,1747599868687269,406
412,1747599868687693,399
413,1747599868688112,306
414,1747599868688437,280
415,1747599868688734,281
416,1747599868689030,288
417,1747599868689335,280
418,1747599868689632,281
419,1747599868689929,281
420,1747599868690225,567
421,1747599868690813,297
422,1747599868691125,291
423,1747599868691435,393
424,1747599868691848,425
425,1747599868692290,397
426,1747599868692710,307
427,1747599868693032,292
428,1747599868693341,280
429,1747599868693638,281
430,1747599868693935,281
431,1747599868694231,281
432,1747599868694528,281
433,1747599868694825,281
434,1747599868695122,288
435,1747599868695426,281
436,1747599868695723,281
437,1747599868696020,402
438,1747599868696442,521
439,1747599868696983,304
440,1747599868697303,284
441,1747599868697605,389
442,1747599868698014,304
443,1747599868698334,289
444,1747599868698641,283
445,1747599868698941,289
446,1747599868699245,618
447,1747599868699883,326
448,1747599868700226,284
449,1747599868700528,283
450,1747599868700828,281
