trial,sent_us,recv_us,latency_us
167,1747595114628081,1747595114651169,23088
168,1747595114728082,1747595114737167,9085
169,1747595114828087,1747595114843809,15722
170,1747595114928086,1747595114937429,9343
171,1747595115028086,1747595115045261,17175
172,1747595115128088,1747595115235067,106979
173,1747595115228087,1747595115235349,7262
174,1747595115328084,1747595115334599,6515
175,1747595115428086,1747595115482827,54741
176,1747595115528090,1747595115532514,4424
177,1747595115628087,1747595115728932,100845
178,1747595115728082,1747595115736561,8479
179,1747595115828088,1747595115999395,171307
180,1747595115928079,1747595115999566,71487
181,1747595116028089,1747595116031546,3457
182,1747595116128085,1747595116232766,104681
183,1747595116228088,1747595116232990,4902
184,1747595116328082,1747595116336756,8674
185,1747595116428089,1747595116494105,66016
186,1747595116528079,1747595116545217,17138
187,1747595116628085,1747595116751004,122919
188,1747595116728082,1747595116751189,23107
189,1747595116828094,1747595116831527,3433
190,1747595116928079,1747595117017216,89137
191,1747595117028085,1747595117032595,4510
192,1747595117128085,1747595117282004,153919
193,1747595117228087,1747595117289283,61196
194,1747595117328084,1747595117338405,10321
195,1747595117428085,1747595117544444,116359
196,1747595117528082,1747595117544709,16627
197,1747595117628085,1747595117632140,4055
198,1747595117728082,1747595117804016,75934
199,1747595117828094,1747595117855843,27749
200,1747595117928082,1747595118073758,145676
201,1747595118028087,1747595118074011,45924
202,1747595118128089,1747595118133834,5745
203,1747595118228093,1747595118332629,104536
204,1747595118328079,1747595118332800,4721
205,1747595118428082,1747595118592538,164456
206,1747595118528087,1747595118592797,64710
207,1747595118628082,1747595118650559,22477
208,1747595118728088,1747595118857040,128952
209,1747595118828082,1747595118857371,29289
210,1747595118928087,1747595118937125,9038
211,1747595119028087,1747595119115589,87502
212,1747595119128090,1747595119133524,5434
213,1747595119228084,1747595119387032,158948
214,1747595119328087,1747595119387319,59232
215,1747595119428079,1747595119431514,3435
216,1747595119528086,1747595119639185,111099
217,1747595119628082,1747595119639550,11468
218,1747595119728089,1747595119733050,4961
219,1747595119828082,1747595119902097,74015
220,1747595119928086,1747595119932291,4205
221,1747595120028082,1747595120161801,133719
222,1747595120128096,1747595120162084,33988
223,1747595120228084,1747595120296340,68256
224,1747595120328095,1747595120344076,15981
225,1747595120428081,1747595120448815,20734
226,1747595120528087,1747595120555811,27724
227,1747595120628082,1747595120673392,45310
228,1747595120728086,1747595120831659,103573
229,1747595120828079,1747595120909701,81622
230,1747595120928085,1747595120940643,12558
231,1747595121028079,1747595121045421,17342
232,1747595121128090,1747595121194815,66725
233,1747595121228081,1747595121246645,18564
234,1747595121328087,1747595121331982,3895
235,1747595121428079,1747595121435814,7735
236,1747595121528087,1747595121533872,5785
237,1747595121628079,1747595121648836,20757
238,1747595121728091,1747595121735649,7558
239,1747595121828084,1747595121833851,5767
240,1747595121928093,1747595121942058,13965
241,1747595122028079,1747595122035928,7849
242,1747595122128089,1747595122138047,9958
243,1747595122228084,1747595122249796,21712
244,1747595122328087,1747595122339678,11591
245,1747595122428079,1747595122434821,6742
246,1747595122528169,1747595122549968,21799
247,1747595122628079,1747595122634702,6623
248,1747595122728084,1747595122738015,9931
249,1747595122828085,1747595122836791,8706
250,1747595122928082,1747595122934721,6639
251,1747595123028086,1747595123036717,8631
252,1747595123128083,1747595123134897,6814
253,1747595123228095,1747595123233199,5104
254,1747595123328079,1747595123336683,8604
255,1747595123428086,1747595123445642,17556
256,1747595123528082,1747595123533715,5633
257,1747595123628087,1747595123633783,5696
258,1747595123728083,1747595123734623,6540
259,1747595123828086,1747595123851925,23839
260,1747595123928082,1747595123933398,5316
261,1747595124028087,1747595124034528,6441
262,1747595124128088,1747595124152078,23990
263,1747595124228088,1747595124238339,10251
264,1747595124328084,1747595124338050,9966
265,1747595124428093,1747595124433945,5852
266,1747595124528084,1747595124564867,36783
267,1747595124628086,1747595124634994,6908
268,1747595124728086,1747595124732266,4180
269,1747595124828087,1747595124833894,5807
270,1747595124928082,1747595124934602,6520
271,1747595125028085,1747595125053732,25647
272,1747595125128087,1747595125134528,6441
273,1747595125228087,1747595125237781,9694
274,1747595125328082,1747595125336742,8660
275,1747595125428088,1747595125433599,5511
276,1747595125528079,1747595125544691,16612
277,1747595125628087,1747595125633950,5863
278,1747595125728090,1747595125733701,5611
279,1747595125828086,1747595125846321,18235
280,1747595125928079,1747595126093002,164923
281,1747595126028085,1747595126220142,192057
282,1747595126128088,1747595126287530,159442
283,1747595126228083,1747595126437276,209193
284,1747595126328082,1747595126611032,282950
285,1747595126428083,1747595126611445,183362
286,1747595126528079,1747595126731733,203654
287,1747595126628081,1747595126733625,105544
288,1747595126728656,1747595126733763,5107
289,1747595126828089,1747595126852024,23935
290,1747595126928088,1747595126935367,7279
291,1747595127028086,1747595127032783,4697
292,1747595127128091,1747595127177627,49536
293,1747595127228086,1747595127236238,8152
294,1747595127328088,1747595127347816,19728
295,1747595127428082,1747595127433632,5550
296,1747595127528087,1747595127533809,5722
297,1747595127628082,1747595127647695,19613
298,1747595127728088,1747595127757893,29805
299,1747595127828082,1747595127832964,4882
300,1747595127928093,1747595127932330,4237
301,1747595128028090,1747595128054434,26344
302,1747595128128089,1747595128133580,5491
303,1747595128228084,1747595128235804,7720
304,1747595128328087,1747595128350753,22666
305,1747595128428086,1747595128436859,8773
306,1747595128528086,1747595128544484,16398
307,1747595128628086,1747595128634997,6911
308,1747595128728087,1747595128733909,5822
309,1747595128828082,1747595128835954,7872
310,1747595128928086,1747595128950623,22537
311,1747595129028082,1747595129032029,3947
312,1747595129128094,1747595129136912,8818
313,1747595129228086,1747595129252887,24801
314,1747595129328086,1747595129334619,6533
315,1747595129428079,1747595129433894,5815
316,1747595129528085,1747595129553897,25812
317,1747595129628082,1747595129632088,4006
318,1747595129728085,1747595129735681,7596
319,1747595129828082,1747595129837019,8937
320,1747595129928089,1747595129933848,5759
321,1747595130028085,1747595130032374,4289
322,1747595130128090,1747595130240756,112666
323,1747595130228079,1747595130241157,13078
324,1747595130328093,1747595130331475,3382
325,1747595130428081,1747595130512790,84709
326,1747595130528085,1747595130532359,4274
327,1747595130628082,1747595130741865,113783
328,1747595130728085,1747595130742171,14086
329,1747595130828084,1747595130838159,10075
330,1747595130928085,1747595130995692,67607
331,1747595131028082,1747595131037599,9517
332,1747595131128091,1747595131247927,119836
333,1747595131228084,1747595131248220,20136
334,1747595131328082,1747595131496844,168762
335,1747595131428095,1747595131497117,69022
336,1747595131528082,1747595131556625,28543
337,1747595131628092,1747595131753400,125308
338,1747595131728082,1747595131753734,25652
339,1747595131828089,1747595131838145,10056
340,1747595131928082,1747595132018785,90703
341,1747595132028086,1747595132031555,3469
342,1747595132128085,1747595132220150,92065
343,1747595132228089,1747595132253844,25755
344,1747595132328086,1747595132429421,101335
345,1747595132428086,1747595132443910,15824
346,1747595132528079,1747595132689827,161748
347,1747595132628087,1747595132691722,63635
348,1747595132728088,1747595132743395,15307
349,1747595132828088,1747595132952820,124732
350,1747595132928082,1747595132953022,24940
351,1747595133028089,1747595133035598,7509
352,1747595133128085,1747595133210014,81929
353,1747595133228092,1747595133243033,14941
354,1747595133328086,1747595133469259,141173
355,1747595133428087,1747595133469512,41425
356,1747595133528082,1747595133532438,4356
357,1747595133628086,1747595133734106,106020
358,1747595133728079,1747595133734442,6363
359,1747595133828089,1747595133995869,167780
360,1747595133928082,1747595133996158,68076
361,1747595134028085,1747595134055538,27453
362,1747595134128088,1747595134257162,129074
363,1747595134228089,1747595134257473,29384
364,1747595134328082,1747595134355097,27015
365,1747595134428085,1747595134529881,101796
366,1747595134528082,1747595134539291,11209
367,1747595134628093,1747595134785956,157863
368,1747595134728082,1747595134786239,58157
369,1747595134828089,1747595134847736,19647
370,1747595134928079,1747595135040681,112602
371,1747595135028087,1747595135040982,12895
372,1747595135128084,1747595135131373,3289
373,1747595135228089,1747595135307049,78960
374,1747595135328079,1747595135337273,9194
375,1747595135428089,1747595135433437,5348
376,1747595135528082,1747595135533857,5775
377,1747595135628082,1747595135640836,12754
378,1747595135728085,1747595135742957,14872
379,1747595135828090,1747595135856150,28060
380,1747595135928088,1747595135932404,4316
381,1747595136028086,1747595136031720,3634
382,1747595136128091,1747595136133057,4966
383,1747595136228086,1747595136241706,13620
384,1747595136328088,1747595136334492,6404
385,1747595136428082,1747595136441351,13269
386,1747595136528087,1747595136585911,57824
387,1747595136628082,1747595136646761,18679
388,1747595136728086,1747595136739456,11370
389,1747595136828082,1747595136852346,24264
390,1747595136928101,1747595136955943,27842
391,1747595137028084,1747595137085608,57524
392,1747595137128088,1747595137153716,25628
393,1747595137228082,1747595137242849,14767
