trial,local_us,latency
287,1747595126628081,455
288,1747595126728656,782
289,1747595126828089,630
290,1747595126928088,1008
291,1747595127028086,564
292,1747595127128091,854
293,1747595127228086,570
294,1747595127328088,865
295,1747595127428082,773
296,1747595127528087,789
297,1747595127628082,717
298,1747595127728088,832
299,1747595127828082,760
300,1747595127928093,550
301,1747595128028090,1071
302,1747595128128089,877
303,1747595128228084,722
304,1747595128328087,792
305,1747595128428086,873
306,1747595128528086,818
307,1747595128628086,777
308,1747595128728087,811
309,1747595128828082,717
310,1747595128928086,775
311,1747595129028082,715
312,1747595129128094,1052
313,1747595129228086,787
314,1747595129328086,772
315,1747595129428079,714
316,1747595129528085,799
317,1747595129628082,738
318,1747595129728085,771
319,1747595129828082,727
320,1747595129928089,846
321,1747595130028085,439
322,1747595130128090,843
323,1747595130228079,732
324,1747595130328093,1064
325,1747595130428081,779
326,1747595130528085,814
327,1747595130628082,747
328,1747595130728085,785
329,1747595130828084,835
330,1747595130928085,784
331,1747595131028082,745
332,1747595131128091,622
333,1747595131228084,727
334,1747595131328082,720
335,1747595131428095,1087
336,1747595131528082,790
337,1747595131628092,1031
338,1747595131728082,753
339,1747595131828089,842
340,1747595131928082,716
341,1747595132028086,778
342,1747595132128085,752
343,1747595132228089,780
344,1747595132328086,788
345,1747595132428086,776
346,1747595132528079,701
347,1747595132628087,831
348,1747595132728088,1064
349,1747595132828088,801
350,1747595132928082,716
351,1747595133028089,574
352,1747595133128085,769
353,1747595133228092,1042
354,1747595133328086,803
355,1747595133428087,815
356,1747595133528082,716
357,1747595133628086,854
358,1747595133728079,740
359,1747595133828089,835
360,1747595133928082,717
361,1747595134028085,742
362,1747595134128088,784
363,1747595134228089,789
364,1747595134328082,730
365,1747595134428085,862
366,1747595134528082,719
367,1747595134628093,1160
368,1747595134728082,783
369,1747595134828089,849
370,1747595134928079,742
371,1747595135028087,770
372,1747595135128084,765
373,1747595135228089,769
374,1747595135328079,733
375,1747595135428089,590
376,1747595135528082,750
377,1747595135628082,725
378,1747595135728085,860
379,1747595135828090,1060
380,1747595135928088,885
381,1747595136028086,789
382,1747595136128091,869
383,1747595136228086,780
384,1747595136328088,827
385,1747595136428082,715
386,1747595136528087,819
387,1747595136628082,750
388,1747595136728086,845
389,1747595136828082,731
390,1747595136928101,769
391,1747595137028084,815
392,1747595137128088,822
393,1747595137228082,739
394,1747595137328087,779
395,1747595137428079,443
396,1747595137528084,745
397,1747595137628086,820
398,1747595137728089,869
399,1747595137828079,397
400,1747595137928084,483
401,1747595138028092,1076
402,1747595138128084,556
403,1747595138228079,474
404,1747595138328091,815
405,1747595138428079,696
406,1747595138528087,759
407,1747595138628079,713
408,1747595138728087,760
409,1747595138828079,774
410,1747595138928089,598
411,1747595139028086,763
412,1747595139128093,1074
413,1747595139228082,758
414,1747595139328089,605
415,1747595139428082,720
416,1747595139528087,786
417,1747595139628079,706
418,1747595139728087,557
419,1747595139828082,780
420,1747595139928088,486
421,1747595140028086,790
422,1747595140128083,740
423,1747595140228089,771
424,1747595140328090,1040
425,1747595140428088,854
426,1747595140528082,713
427,1747595140628089,620
428,1747595140728086,794
429,1747595140828086,852
430,1747595140928082,736
431,1747595141028087,788
432,1747595141128085,769
433,1747595141228090,497
434,1747595141328084,766
435,1747595141428093,1070
436,1747595141528084,739
437,1747595141628086,790
438,1747595141728082,722
439,1747595141828087,879
440,1747595141928086,834
441,1747595142028088,589
442,1747595142128090,804
443,1747595142228089,846
444,1747595142328084,769
445,1747595142428085,790
446,1747595142528082,723
447,1747595142628089,1028
448,1747595142728086,840
449,1747595142828085,824
450,1747595142928082,794
451,1747595143028089,842
452,1747595143128083,804
453,1747595143228089,785
454,1747595143328079,743
455,1747595143428089,823
456,1747595143528079,736
457,1747595143628089,811
458,1747595143728082,785
459,1747595143828085,1137
460,1747595143928092,1082
461,1747595144028079,903
462,1747595144128089,547
463,1747595144228110,636
464,1747595144328086,806
465,1747595144428084,748
466,1747595144528085,541
467,1747595144628082,718
468,1747595144728084,778
469,1747595144828084,723
470,1747595144928085,539
471,1747595145028086,838
472,1747595145128094,1090
473,1747595145228082,739
474,1747595145328087,805
475,1747595145428082,730
476,1747595145528086,791
477,1747595145628082,744
478,1747595145728087,783
479,1747595145828086,811
480,1747595145928086,783
481,1747595146028082,726
482,1747595146128093,948
483,1747595146228085,1003
484,1747595146328090,875
485,1747595146428079,738
486,1747595146528089,1009
487,1747595146628084,811
488,1747595146728085,779
489,1747595146828084,544
490,1747595146928087,830
491,1747595147028079,713
492,1747595147128088,834
493,1747595147228079,782
494,1747595147328089,631
495,1747595147428079,711
496,1747595147528081,486
497,1747595147628082,726
498,1747595147728095,755
499,1747595147828081,775
500,1747595147928089,884
501,1747595148028079,712
502,1747595148128090,593
503,1747595148228090,1131
504,1747595148328082,733
505,1747595148428089,860
506,1747595148528082,764
507,1747595148628084,791
508,1747595148728082,722
509,1747595148828095,1080
510,1747595148928082,756
511,1747595149028086,797
512,1747595149128084,744
513,1747595149228089,829
514,1747595149328082,794
515,1747595149428088,892
516,1747595149528079,704
517,1747595149628087,782
518,1747595149728086,789
519,1747595149828086,773
520,1747595149928079,709
521,1747595150028087,786
522,1747595150128090,1073
523,1747595150228090,784
524,1747595150328082,825
525,1747595150428089,853
526,1747595150528082,736
527,1747595150628086,801
528,1747595150728079,718
529,1747595150828087,776
530,1747595150928084,831
531,1747595151028093,1058
532,1747595151128084,810
533,1747595151228088,816
534,1747595151328084,851
535,1747595151428085,782
536,1747595151528082,770
537,1747595151628085,525
538,1747595151728086,847
539,1747595151828085,785
540,1747595151928082,715
541,1747595152028085,771
542,1747595152128082,781
543,1747595152228087,762
544,1747595152328082,736
545,1747595152428089,632
546,1747595152528088,1044
547,1747595152628086,807
548,1747595152728087,624
549,1747595152828082,729
550,1747595152928084,800
551,1747595153028079,403
552,1747595153128091,724
553,1747595153228079,406
554,1747595153328084,555
555,1747595153428084,850
556,1747595153528087,810
557,1747595153628082,738
558,1747595153728086,774
559,1747595153828086,816
560,1747595153928089,757
561,1747595154028077,382
562,1747595154128085,672
563,1747595154228090,837
564,1747595154328093,700
565,1747595154428081,396
566,1747595154528081,440
567,1747595154628079,388
568,1747595154728081,432
569,1747595154828086,860
570,1747595154928089,839
571,1747595155028079,739
572,1747595155128086,770
