trial,local_us,latency
265,1747593788699672,47057
266,1747593788788902,120644
267,1747593788909575,30756
268,1747593788988899,6235
269,1747593789088907,19568
270,1747593789188911,13422
271,1747593789288908,32281
272,1747593789388915,119764
273,1747593789508704,37579
274,1747593789588902,21121
275,1747593789688920,39049
276,1747593789788911,10914
277,1747593789888907,54492
278,1747593789988914,27389
279,1747593790088912,52315
280,1747593790188904,8109
281,1747593790288909,69122
282,1747593790388905,5956
283,1747593790488960,112169
284,1747593790601219,20231
285,1747593790688919,70344
286,1747593790788915,8064
287,1747593790888904,67680
288,1747593790988911,6363
289,1747593791088912,29662
290,1747593791188922,63865
291,1747593791288900,8137
292,1747593791388915,64254
293,1747593791488905,67549
294,1747593791588902,6299
295,1747593791688918,63443
296,1747593791788924,7098
297,1747593791888913,11103
298,1747593791988911,52791
299,1747593792088903,11387
300,1747593792188915,15160
301,1747593792288909,70244
302,1747593792388911,33491
303,1747593792488899,14614
304,1747593792588913,79969
305,1747593792688908,27685
306,1747593792788923,21294
307,1747593792888898,27415
308,1747593792988909,32779
309,1747593793088908,74822
310,1747593793188899,149901
311,1747593793338817,54007
312,1747593793392841,10094
313,1747593793488908,9355
314,1747593793588908,38696
315,1747593793688911,11213
316,1747593793788902,10236
317,1747593793888912,48162
318,1747593793988903,6271
319,1747593794088919,14148
320,1747593794188900,34568
321,1747593794288898,52991
322,1747593794388897,60002
323,1747593794488900,32887
324,1747593794588906,95558
325,1747593794688900,30992
326,1747593794788920,8171
327,1747593794888913,9322
328,1747593794988917,6027
329,1747593795088914,179901
330,1747593795268842,26049
331,1747593795294908,13137
332,1747593795388907,138535
333,1747593795527466,18654
334,1747593795588899,19834
335,1747593795688925,93025
336,1747593795788900,10251
337,1747593795888912,130491
338,1747593796019432,14099
339,1747593796088990,12154
340,1747593796188916,74070
341,1747593796288907,29999
342,1747593796388913,139990
343,1747593796528931,24399
344,1747593796588898,31063
345,1747593796688914,120482
346,1747593796809425,15109
347,1747593796888903,98917
348,1747593796988901,26234
349,1747593797088908,101802
350,1747593797190737,37431
351,1747593797288913,103237
352,1747593797392317,17065
353,1747593797488908,171010
354,1747593797660031,28777
355,1747593797688897,7448
356,1747593797788919,149067
357,1747593797938018,26577
358,1747593797988900,6432
359,1747593798088912,107738
360,1747593798196688,17049
361,1747593798288916,89557
362,1747593798388907,25003
363,1747593798488908,161190
364,1747593798650126,27406
365,1747593798688899,5233
366,1747593798788913,117380
367,1747593798906407,38853
368,1747593798988900,6353
369,1747593799088911,77908
370,1747593799188903,10495
371,1747593799288916,144982
372,1747593799433935,16972
373,1747593799488902,10379
374,1747593799588911,107496
375,1747593799696443,17091
376,1747593799788907,169113
377,1747593799958040,39435
378,1747593799997494,14256
379,1747593800088910,135392
380,1747593800224338,21356
381,1747593800288898,11586
382,1747593800388925,90375
383,1747593800488904,12965
384,1747593800588911,8994
385,1747593800688914,26384
386,1747593800788924,8297
387,1747593800888911,12001
388,1747593800988912,19197
389,1747593801088919,49740
390,1747593801188907,26452
391,1747593801288899,22180
392,1747593801388972,39412
393,1747593801488915,38555
394,1747593801588918,21076
395,1747593801688917,24374
396,1747593801788917,40469
397,1747593801888901,10753
398,1747593801988914,12546
399,1747593802088909,57674
400,1747593802188900,6164
401,1747593802288921,40217
402,1747593802388911,11368
403,1747593802488921,6301
404,1747593802588911,39176
405,1747593802688910,10173
406,1747593802788912,13508
407,1747593802888918,22881
408,1747593802988921,12175
409,1747593803088917,5866
410,1747593803188902,15014
411,1747593803288919,7953
412,1747593803388906,45911
413,1747593803488906,12639
414,1747593803588917,8323
415,1747593803688920,10729
416,1747593803788918,11585
417,1747593803888923,7935
418,1747593803988910,15787
419,1747593804088917,14503
420,1747593804188908,59446
421,1747593804288911,5864
422,1747593804388909,22216
423,1747593804488917,5948
424,1747593804588908,6154
425,1747593804688917,17132
426,1747593804788919,8614
427,1747593804888910,12692
428,1747593804988915,39751
429,1747593805088920,12281
430,1747593805188913,8135
431,1747593805288912,29498
432,1747593805388908,7898
433,1747593805488911,18948
434,1747593805588917,36181
435,1747593805688915,11327
436,1747593805788904,9927
437,1747593805888910,29426
438,1747593805988918,5806
439,1747593806088899,17970
440,1747593806188902,26061
441,1747593806288914,8113
442,1747593806388913,7971
443,1747593806488905,37646
444,1747593806588905,10130
445,1747593806688909,17170
446,1747593806788917,11292
447,1747593806888909,7185
448,1747593806988912,15319
449,1747593807088905,8162
450,1747593807188908,64231
451,1747593807288902,8281
452,1747593807388907,30301
453,1747593807488914,7034
454,1747593807588910,8926
455,1747593807688911,41483
456,1747593807788916,5983
457,1747593807888897,27774
458,1747593807988919,6857
459,1747593808088905,8051
460,1747593808188918,9988
461,1747593808288908,30441
462,1747593808388921,10897
463,1747593808488910,12287
464,1747593808588921,17248
465,1747593808688911,7944
466,1747593808788917,5945
467,1747593808888907,19024
468,1747593808988921,6884
469,1747593809088907,11642
470,1747593809188931,16105
471,1747593809288915,12037
472,1747593809388911,31953
473,1747593809488912,22951
474,1747593809588921,66205
475,1747593809688907,13738
476,1747593809788919,189063
477,1747593809978012,74789
478,1747593810052818,53338
479,1747593810106173,204792
480,1747593810310996,211882
481,1747593810523023,28348
482,1747593810551389,12813
483,1747593810564219,8772
484,1747593810588902,14670
485,1747593810688920,79961
486,1747593810788908,6768
487,1747593810888910,157271
488,1747593811046198,40447
489,1747593811088897,5850
490,1747593811188911,83976
491,1747593811288909,8300
492,1747593811388916,136602
493,1747593811525554,47082
494,1747593811588900,6973
495,1747593811688917,94695
496,1747593811788904,23157
497,1747593811888919,94977
498,1747593811988903,15266
499,1747593812088917,98544
500,1747593812188898,30772
501,1747593812288906,184171
502,1747593812473094,35764
503,1747593812508874,14155
504,1747593812588914,131089
505,1747593812720039,13446
506,1747593812788909,208884
507,1747593812997811,24910
508,1747593813022737,28173
509,1747593813088904,157691
510,1747593813246612,16530
511,1747593813288898,11049
512,1747593813388918,108400
513,1747593813497348,50354
514,1747593813588902,172547
515,1747593813761475,91729
516,1747593813853233,170342
517,1747593814023714,29432
518,1747593814053163,42989
519,1747593814096169,12890
520,1747593814188908,94653
521,1747593814288906,31910
522,1747593814388915,176003
523,1747593814565015,17225
524,1747593814588897,5904
525,1747593814688915,127606
526,1747593814816551,18592
527,1747593814888900,9187
528,1747593814988919,95724
529,1747593815088904,13252
530,1747593815188906,146038
531,1747593815334961,26397
532,1747593815388897,6097
533,1747593815488914,44724
534,1747593815588905,6880
535,1747593815688917,10553
536,1747593815788908,19390
537,1747593815888911,13934
538,1747593815988907,27796
539,1747593816088923,7328
540,1747593816188919,57611
541,1747593816288904,7981
542,1747593816388911,23942
543,1747593816488917,16756
544,1747593816588917,8006
545,1747593816688907,22145
546,1747593816788911,11158
547,1747593816888899,13653
548,1747593816988923,33753
549,1747593817088912,6894
550,1747593817188918,70645
551,1747593817288906,31048
552,1747593817388911,13384
553,1747593817488898,11280
554,1747593817588916,25113
555,1747593817688916,27378
556,1747593817788913,16989
557,1747593817888907,35446
558,1747593817988924,51031
559,1747593818088904,51828
560,1747593818188910,30356
561,1747593818288917,9030
562,1747593818388915,13166
563,1747593818488913,32395
564,1747593818588913,13220
565,1747593818688904,31054
566,1747593818788898,59219
567,1747593818888899,10341
568,1747593818988897,14799
569,1747593819088919,8460
570,1747593819188912,11939
571,1747593819288912,16309
572,1747593819388911,6284
573,1747593819488913,18567
574,1747593819588912,25070
575,1747593819688923,15890
