trial,local_us,latency
265,1747599526814379,6861
266,1747599526821253,6480
267,1747599526827747,8527
268,1747599526836288,9147
269,1747599526845450,8797
270,1747599526854261,10037
271,1747599526864313,176172
272,1747599527040501,18663
273,1747599527059178,10869
274,1747599527070061,16466
275,1747599527086542,15140
276,1747599527101695,13713
277,1747599527115422,6610
278,1747599527122044,170675
279,1747599527292733,10238
280,1747599527302985,8982
281,1747599527311983,10948
282,1747599527322946,9597
283,1747599527332557,5636
284,1747599527338206,10248
285,1747599527348468,15453
286,1747599527363934,7836
287,1747599527371783,10549
288,1747599527382345,175675
289,1747599527558033,7559
290,1747599527565605,15117
291,1747599527580736,9499
292,1747599527590249,8110
293,1747599527598374,10389
294,1747599527608775,12120
295,1747599527620909,14033
296,1747599527634954,8287
297,1747599527643255,168823
298,1747599527812091,19045
299,1747599527831150,7266
300,1747599527838431,9980
301,1747599527848424,13968
302,1747599527862406,10874
303,1747599527873430,5239
304,1747599527878682,8447
305,1747599527887143,9438
306,1747599527896595,182452
307,1747599528079062,9696
308,1747599528088771,10799
309,1747599528099585,12703
310,1747599528112301,7071
311,1747599528119386,7551
312,1747599528126950,10456
313,1747599528137419,8473
314,1747599528145905,8278
315,1747599528154200,10445
316,1747599528164659,176968
317,1747599528341641,14861
318,1747599528356516,8135
319,1747599528364666,7972
320,1747599528372652,15143
321,1747599528387808,12831
322,1747599528400653,16126
323,1747599528416792,11028
324,1747599528427832,176901
325,1747599528604746,10041
326,1747599528614801,9539
327,1747599528624355,9072
328,1747599528633440,8189
329,1747599528641642,10488
330,1747599528652144,8799
331,1747599528660957,9711
332,1747599528670683,9365
333,1747599528680060,6179
334,1747599528686253,180825
335,1747599528867091,11891
336,1747599528878997,8052
337,1747599528887062,11998
338,1747599528899074,10124
339,1747599528909212,10004
340,1747599528919229,8664
341,1747599528927906,12853
342,1747599528940773,8486
343,1747599528949273,180074
344,1747599529129362,12557
345,1747599529141933,5127
346,1747599529147072,6516
347,1747599529153601,13598
348,1747599529167212,7304
349,1747599529174529,6639
350,1747599529181182,11600
351,1747599529192795,14469
352,1747599529207277,9772
353,1747599529217063,176001
354,1747599529393078,17924
355,1747599529411014,11868
356,1747599529422896,12179
357,1747599529435089,13524
358,1747599529448627,9665
359,1747599529458307,8029
360,1747599529466350,9464
361,1747599529475827,176476
362,1747599529652317,16749
363,1747599529669079,10128
364,1747599529679220,11049
365,1747599529690282,9891
366,1747599529700187,9164
367,1747599529709364,7499
368,1747599529716876,9100
369,1747599529725992,13425
370,1747599529739432,178041
371,1747599529917486,9678
372,1747599529927178,13734
373,1747599529940926,20932
374,1747599529961872,15717
375,1747599529977601,13206
376,1747599529990820,10440
377,1747599530001273,177276
378,1747599530178563,18043
379,1747599530196618,11410
380,1747599530208042,30340
381,1747599530238396,10400
382,1747599530248810,14544
383,1747599530263368,9153
384,1747599530272536,10059
385,1747599530282609,10636
386,1747599530293258,6207
387,1747599530299479,9649
388,1747599530309141,12426
389,1747599530321581,11839
390,1747599530333434,8887
391,1747599530342335,10680
392,1747599530353029,7524
393,1747599530360687,7774
394,1747599530368475,8308
395,1747599530376796,15069
396,1747599530391878,14289
397,1747599530406180,7693
398,1747599530413886,12598
399,1747599530426498,12366
400,1747599530438877,8665
401,1747599530447555,18272
402,1747599530465841,19274
403,1747599530485130,13486
404,1747599530498628,10454
405,1747599530509095,12117
406,1747599530521226,11973
407,1747599530533212,17527
408,1747599530550751,11546
409,1747599530562310,14294
410,1747599530576617,8579
411,1747599530585209,12657
412,1747599530597879,15310
413,1747599530613203,11356
414,1747599530624571,13960
415,1747599530638544,7607
416,1747599530646164,14242
