trial,local_us,remote_us,latency_us,delta_local_us,delta_remote_us,error_us
129,3388355,1747574569999375,9162,18000,17646,-354
130,3406355,1747574570017926,9568,18000,18551,551
131,3424355,1747574570036266,9742,18000,18340,340
132,3442355,1747574570053861,9510,18000,17595,-405
133,3460355,1747574570071467,9264,18000,17606,-394
134,3478355,1747574570090102,9624,18000,18635,635
135,3496355,1747574570107430,9185,18000,17328,-672
136,3514355,1747574570125696,9360,18000,18266,266
137,3532355,1747574570143895,9517,18000,18199,199
138,3550355,1747574570162271,9734,18000,18376,376
139,3568355,1747574570180253,9745,18000,17982,-18
140,3586355,1747574570197874,9513,18000,17621,-379
141,3604355,1747574570215724,9368,18000,17850,-150
142,3622355,1747574570233881,9523,18000,18157,157
143,3640355,1747574570252122,9648,18000,18241,241
144,3658355,1747574570269688,9346,18000,17566,-434
145,3676355,1747574570287860,9512,18000,18172,172
146,3694355,1747574570305243,9070,18000,17383,-617
147,3712355,1747574570323757,9412,18000,18514,514
148,3730355,1747574570341872,9508,18000,18115,115
149,3748355,1747574570359640,9319,18000,17768,-232
150,3766355,1747574570378128,9690,18000,18488,488
151,3784355,1747574570395412,9172,18000,17284,-716
152,3802355,1747574570413577,9300,18000,18165,165
153,3820355,1747574570431626,9306,18000,18049,49
154,3838355,1747574570449163,8987,18000,17537,-463
155,3856355,1747574570468474,9892,18000,19311,1311
156,3874355,1747574570485410,9171,18000,16936,-1064
157,3892355,1747574570503348,9129,18000,17938,-62
158,3910355,1747574570521437,9174,18000,18089,89
159,3928355,1747574570539793,9516,18000,18356,356
160,3946355,1747574570557398,9157,18000,17605,-395
161,3964355,1747574570575934,9569,18000,18536,536
162,3982355,1747574570593934,9562,18000,18000,0
163,4000355,1747574570611720,9373,18000,17786,-214
164,4018355,1747574570629609,9312,18000,17889,-111
165,4036355,1747574570647920,9549,18000,18311,311
166,4054355,1747574570665251,9065,18000,17331,-669
167,4072355,1747574570683352,9137,18000,18101,101
168,4090355,1747574570702272,9752,18000,18920,920
169,4108355,1747574570719912,9547,18000,17640,-360
170,4126355,1747574570737351,9133,18000,17439,-561
171,4144355,1747574570755768,9421,18000,18417,417
172,4162355,1747574570773701,9377,18000,17933,-67
173,4180355,1747574570791723,9380,18000,18022,22
174,4198355,1747574570809500,9234,18000,17777,-223
175,4216355,1747574570827695,9357,18000,18195,195
176,4234355,1747574570845305,9104,18000,17610,-390
177,4252355,1747574570863693,9368,18000,18388,388
178,4270355,1747574570881228,9040,18000,17535,-465
179,4288355,1747574570899165,8998,18000,17937,-63
180,4306355,1747574570917134,8980,18000,17969,-31
181,4324355,1747574570935400,9160,18000,18266,266
182,4342355,1747574570953347,9140,18000,17947,-53
183,4360355,1747574570971221,9037,18000,17874,-126
184,4378355,1747574570989675,9348,18000,18454,454
185,4396355,1747574571008305,9784,18000,18630,630
186,4414355,1747574571025718,9386,18000,17413,-587
187,4432355,1747574571043946,9552,18000,18228,228
188,4450355,1747574571061924,9517,18000,17978,-22
189,4468355,1747574571079462,9209,18000,17538,-462
190,4486355,1747574571098244,9730,18000,18782,782
191,4504355,1747574571115927,9583,18000,17683,-317
192,4522355,1747574571133706,9357,18000,17779,-221
193,4540355,1747574571152373,9855,18000,18667,667
194,4558355,1747574571169462,9206,18000,17089,-911
195,4576355,1747574571187387,9156,18000,17925,-75
196,4594355,1747574571205429,9198,18000,18042,42
197,4612355,1747574571223698,9349,18000,18269,269
198,4630355,1747574571241716,9376,18000,18018,18
199,4648355,1747574571259645,9325,18000,17929,-71
200,4666355,1747574571278508,9905,18000,18863,863
201,4684355,1747574571295391,9228,18000,16883,-1117
202,4702355,1747574571313346,9119,18000,17955,-45
203,4720355,1747574571331281,9068,18000,17935,-65
204,4738355,1747574571349730,9364,18000,18449,449
205,4756355,1747574571367624,9320,18000,17894,-106
206,4774355,1747574571385172,9059,18000,17548,-452
207,4792355,1747574571403743,9396,18000,18571,571
208,4810355,1747574571421415,9185,18000,17672,-328
209,4828355,1747574571440256,9715,18000,18841,841
210,4846355,1747574571457130,8952,18000,16874,-1126
